Заголовок,Категория,Источник,Дата,Ссылка,Краткое описание
"Стали известны новые подробности о секс-рабе начальницы крупного банка","Из жизни","LENTA","Tue, 05 May 2026 10:27:00 +0300","https://lenta.ru/news/2026/05/05/stali-izvestny-novye-podrobnosti-o-seks-rabe-nachalnitsy-krupnogo-banka/","отсутсвует"
"Главный тренер «Спартака» высказался о положительной допинг-пробе Заболотного","Спорт","LENTA","Tue, 05 May 2026 10:24:59 +0300","https://lenta.ru/news/2026/05/05/glavnyy-trener-spartaka-vyskazalsya-o-polozhitelnoy-doping-probe-zabolotnogo/","отсутсвует"
"Бывшие уголовники стали коммерсантами и занялись вымогательством","Силовые структуры","LENTA","Tue, 05 May 2026 10:21:00 +0300","https://lenta.ru/news/2026/05/05/byvshie-ugolovniki-stali-kommersantami-i-zanyalis-vymogatelstvom/","отсутсвует"
"Писториус предупредил о проблемах бундесвера из-за решения США по Tomahawk","Мир","LENTA","Tue, 05 May 2026 10:20:00 +0300","https://lenta.ru/news/2026/05/05/pistorius-predupredil-o-problemah-bundesvera-iz-za-resheniya-ssha-po-tomahawk/","отсутсвует"
"Российские военкоры назвали цели ночных ударов по Украине","Бывший СССР","LENTA","Tue, 05 May 2026 10:16:00 +0300","https://lenta.ru/news/2026/05/05/rossiyskie-voenkory-nazvali-tseli-nochnyh-udarov-po-ukraine/","отсутсвует"
"Российская пенсионерка захотела снять кольцо с пальца и едва не умерла","Россия","LENTA","Tue, 05 May 2026 10:14:00 +0300","https://lenta.ru/news/2026/05/05/rossiyskaya-pensionerka-zahotela-snyat-koltso-s-paltsa-i-edva-ne-umerla/","отсутсвует"
"Школы региона России в 1000 километров от границы перевели на дистант после атаки ВСУ","Россия","LENTA","Tue, 05 May 2026 10:11:00 +0300","https://lenta.ru/news/2026/05/05/shkoly-regiona-rossii-v-1000-kilometrah-ot-granitsy-pereveli-na-distant-posle-ataki-vsu/","отсутсвует"
"«Ростех» создал комплекс для срыва массированных атак FPV-дронов","Наука и техника","LENTA","Tue, 05 May 2026 10:09:02 +0300","https://lenta.ru/news/2026/05/05/rosteh-sozdal-kompleks-dlya-sryva-massirovannyh-atak-fpv-dronov/","отсутсвует"
"Россиянам назвали цену шашлычного набора в мае 2026 года","Экономика","LENTA","Tue, 05 May 2026 10:08:26 +0300","https://lenta.ru/news/2026/05/05/rossiyanam-nazvali-tsenu-shashlychnogo-nabora-v-mae-2026-goda/","отсутсвует"
"Дрон ВСУ ударил по многоэтажке в столице российского региона в 1000 километров от границы","Россия","LENTA","Tue, 05 May 2026 10:08:00 +0300","https://lenta.ru/news/2026/05/05/dron-vsu-udaril-po-mnogoetazhke-v-stolitse-rossiyskogo-regiona-v-1000-kilometrah-ot-granitsy/","отсутсвует"
"Дизайнер подала в суд на Ким Кардашьян и обвинила ее в воровстве","Ценности","LENTA","Tue, 05 May 2026 10:06:06 +0300","https://lenta.ru/news/2026/05/05/dizayner-podala-v-sud-na-kim-kardashyan-i-obvinila-ee-v-vorovstve/","отсутсвует"
"Бывший чемпион Bellator оценил перспективы Дзюбы в ММА","Спорт","LENTA","Tue, 05 May 2026 10:03:29 +0300","https://lenta.ru/news/2026/05/05/byvshiy-chempion-bellator-otsenil-perspektivy-dzyuby-v-mma/","отсутсвует"
"В Белоруссии ответили на сравнение с губернией","Бывший СССР","LENTA","Tue, 05 May 2026 10:02:57 +0300","https://lenta.ru/news/2026/05/05/v-belorussii-otvetili-na-sravnenie-s-guberniey/","отсутсвует"
"Задержание медика на рабочем месте в ДНР попало на видео","Силовые структуры","LENTA","Tue, 05 May 2026 10:02:00 +0300","https://lenta.ru/news/2026/05/05/zaderzhanie-medika-na-rabochem-meste-v-dnr-popalo-na-video/","отсутсвует"
"ФСБ задержала создавшего шпионскую сеть в российском регионе агента украинской разведки","Силовые структуры","LENTA","Tue, 05 May 2026 09:59:00 +0300","https://lenta.ru/news/2026/05/05/fsb-zaderzhala-sozdavshego-shpionskuyu-set-v-rossiyskom-regione-agenta-ukrainskoy-razvedki/","отсутсвует"
"Популярный блогер назвал Волочкову сексуальной женщиной и восхитился ее шпагатом","Интернет и СМИ","LENTA","Tue, 05 May 2026 09:51:37 +0300","https://lenta.ru/news/2026/05/05/kiss/","отсутсвует"
"Рискнувший званием ради многомиллионной взятки экс-чиновник Минобороны оспорил приговор","Силовые структуры","LENTA","Tue, 05 May 2026 09:50:00 +0300","https://lenta.ru/news/2026/05/05/risknuvshiy-zvaniem-radi-mnogomillionnoy-vzyatki-eks-chinovnik-minoborony-osporil-prigovor/","отсутсвует"
"Металлические качели пробили голову ребенку в российском регионе","Россия","LENTA","Tue, 05 May 2026 09:48:00 +0300","https://lenta.ru/news/2026/05/05/metallicheskie-kacheli-probili-golovu-rebenku-v-rossiyskom-regione/","отсутсвует"
"Участника банды «29-й комплекс» осудят за заказные расправы","Силовые структуры","LENTA","Tue, 05 May 2026 09:45:00 +0300","https://lenta.ru/news/2026/05/05/uchastnika-bandy-29-y-kompleks-osudyat-za-zakaznye-raspravy/","отсутсвует"
"Медработник из ДНР зарабатывал на информации о раненых бойцах","Силовые структуры","LENTA","Tue, 05 May 2026 09:43:00 +0300","https://lenta.ru/news/2026/05/05/medrabotnik-iz-dnr-zarabatyval-na-informatsii-o-ranenyh-boytsah/","отсутсвует"
"В России резко изменилось количество самозанятых","Экономика","LENTA","Tue, 05 May 2026 09:40:29 +0300","https://lenta.ru/news/2026/05/05/v-rossii-rezko-izmenilos-kolichestvo-samozanyatyh/","отсутсвует"
"Гагарина назвала профессию своей мечты после ухода со сцены","Культура","LENTA","Tue, 05 May 2026 09:40:06 +0300","https://lenta.ru/news/2026/05/05/gagarina-nazvala-professiyu-svoey-mechty-posle-uhoda-so-stseny/","отсутсвует"
"В Раде заявили о возможной провокации Зеленским ядерного удара по Украине","Бывший СССР","LENTA","Tue, 05 May 2026 09:37:00 +0300","https://lenta.ru/news/2026/05/05/v-rade-zayavili-o-vozmozhnoy-provokatsii-zelenskim-yadernogo-udara-po-ukraine/","отсутсвует"
"Российский «Кузнечик» получил «Подхват»","Наука и техника","LENTA","Tue, 05 May 2026 09:33:35 +0300","https://lenta.ru/news/2026/05/05/rossiyskiy-kuznechik-poluchil-podhvat/","отсутсвует"
"Людям с геморроем дали несколько простых советов","Забота о себе","LENTA","Tue, 05 May 2026 09:32:28 +0300","https://lenta.ru/news/2026/05/05/lyudyam-s-gemorroem-dali-neskolko-sovetov/","отсутсвует"
"В Европе предрекли улучшение отношений с Трампом по одной причине","Мир","LENTA","Tue, 05 May 2026 09:30:00 +0300","https://lenta.ru/news/2026/05/05/v-evrope-predrekli-uluchshenie-otnosheniy-s-trampom-po-odnoy-prichine/","отсутсвует"
"В Европе признали отставание в дальнобойных возможностях","Мир","LENTA","Tue, 05 May 2026 09:26:15 +0300","https://lenta.ru/news/2026/05/05/v-evrope-priznali-otstavanie-v-dalnoboynyh-vozmozhnostyah/","отсутсвует"
"Двум российским ученым РАН дали срок по делу о госизмене","Силовые структуры","LENTA","Tue, 05 May 2026 09:26:00 +0300","https://lenta.ru/news/2026/05/05/dvum-rossiyskim-uchenym-ran-dali-srok-po-delu-o-gosizmene/","отсутсвует"
"Стало известно о смерти школьницы из многодетной семьи под Москвой","Россия","LENTA","Tue, 05 May 2026 09:23:00 +0300","https://lenta.ru/news/2026/05/05/stalo-izvestno-o-smerti-shkolnitsy-iz-mnogodetnoy-semi-pod-moskvoy/","отсутсвует"
"Пьеха назвал заставляющие его плакать песни","Культура","LENTA","Tue, 05 May 2026 09:22:41 +0300","https://lenta.ru/news/2026/05/05/pieha-nazval-zastavlyayuschie-ego-plakat-pesni/","отсутсвует"
"Российский посол предупредил о риске прямого столкновения с НАТО","Мир","LENTA","Tue, 05 May 2026 09:16:00 +0300","https://lenta.ru/news/2026/05/05/rossiyskiy-posol-predupredil-o-riske-pryamogo-stolknoveniya-s-nato/","отсутсвует"
"Названа цена самой дешевой квартиры в Москве","Экономика","LENTA","Tue, 05 May 2026 09:16:00 +0300","https://lenta.ru/news/2026/05/05/nazvana-tsena-samoy-deshevoy-kvartiry-v-moskve/","отсутсвует"
"Волейболистка объяснила победу в Кубке России жесткостью яиц","Спорт","LENTA","Tue, 05 May 2026 09:12:00 +0300","https://lenta.ru/news/2026/05/05/voleybolistka-ob-yasnila-pobedu-v-kubke-rossii-zhestkostyu-yaits/","отсутсвует"
"Откровенный образ российской гимнастки на публике раскритиковали в сети","Ценности","LENTA","Tue, 05 May 2026 09:09:21 +0300","https://lenta.ru/news/2026/05/05/gimnastka/","отсутсвует"
"Россиянам назвали повышающую риск слепоты группу препаратов","Интернет и СМИ","LENTA","Tue, 05 May 2026 09:08:29 +0300","https://lenta.ru/news/2026/05/05/gormony/","отсутсвует"
"В США усомнились в высадке астронавтов на Луну в 2028 году","Наука и техника","LENTA","Tue, 05 May 2026 09:02:26 +0300","https://lenta.ru/news/2026/05/05/v-ssha-usomnilis-v-vysadke-astronavtov-na-lunu-v-2028-godu/","отсутсвует"
"Россиянин показал простой способ удобно спать в самолете и вызвал споры в сети","Путешествия","LENTA","Tue, 05 May 2026 09:02:12 +0300","https://lenta.ru/news/2026/05/05/rossiyanin-pokazal-prostoy-sposob-udobno-spat-v-samolete-i-vyzval-spory-v-seti/","отсутсвует"
"На Западе начали терять терпение из-за Трампа","Мир","LENTA","Tue, 05 May 2026 09:02:00 +0300","https://lenta.ru/news/2026/05/05/na-zapade-nachali-teryat-terpenie-iz-za-trampa/","отсутсвует"
"Вероятность затяжной грозы в Москве оценили","Экономика","LENTA","Tue, 05 May 2026 08:59:00 +0300","https://lenta.ru/news/2026/05/05/veroyatnost-zatyazhnoy-grozy-v-moskve-otsenili/","отсутсвует"
"В России из аптек пропали жизненно важные лекарства от рака","Россия","LENTA","Tue, 05 May 2026 08:59:00 +0300","https://lenta.ru/news/2026/05/05/v-rossii-iz-aptek-propali-zhiznenno-vazhnye-lekarstva-ot-raka/","отсутсвует"
"В ВСУ от пропаганды ЛГБТ перешли к угрозам","Бывший СССР","LENTA","Tue, 05 May 2026 08:58:00 +0300","https://lenta.ru/news/2026/05/05/v-vsu-ot-propagandy-lgbt-pereshli-k-ugrozam/","отсутсвует"
"Москва приблизилась к новому рекорду","Экономика","LENTA","Tue, 05 May 2026 08:57:22 +0300","https://lenta.ru/news/2026/05/05/v-moskve-priblizilis-k-novomu-rekordu/","отсутсвует"
"Мирошник назвал чаще всего страдающий от атак ВСУ регион России","Бывший СССР","LENTA","Tue, 05 May 2026 08:57:00 +0300","https://lenta.ru/news/2026/05/05/miroshnik-nazval-chasche-vsego-stradayuschiy-ot-atak-vsu-region-rossii/","отсутсвует"
"В России похвалили импортозамещенный SJ-100","Экономика","LENTA","Tue, 05 May 2026 08:49:00 +0300","https://lenta.ru/news/2026/05/05/khoroshoto-to-kak/","отсутсвует"
"В «Ахмате» рассказали о новой роли «Бабы-яги» в армии России","Бывший СССР","LENTA","Tue, 05 May 2026 08:47:15 +0300","https://lenta.ru/news/2026/05/05/v-ahmate-rasskazali-o-novoy-roli-baby-yagi-v-armii-rossii/","отсутсвует"
"Названа причина паузы в переговорах по Украине","Россия","LENTA","Tue, 05 May 2026 08:45:00 +0300","https://lenta.ru/news/2026/05/05/nazvana-prichina-pauzy-v-peregovorah-po-ukraine/","отсутсвует"
"Иранские дипломаты посмеялись над допустившим оплошность Трампом","Мир","LENTA","Tue, 05 May 2026 08:44:00 +0300","https://lenta.ru/news/2026/05/05/iranskie-diplomaty-posmeyalis-nad-dopustivshim-oploshnost-trampom/","отсутсвует"
"В Германии назвали последствия отказа США от размещения ракет","Мир","LENTA","Tue, 05 May 2026 08:43:00 +0300","https://lenta.ru/news/2026/05/05/v-germanii-nazvali-posledstviya-otkaza-ssha-ot-razmescheniya-raket/","отсутсвует"
"Россиянам раскрыли способы сэкономить при покупке квартиры","Экономика","LENTA","Tue, 05 May 2026 08:42:00 +0300","https://lenta.ru/news/2026/05/05/rossiyanam-raskryli-sposoby-sekonomit-pri-pokupke-kvartiry/","отсутсвует"
"Раскрыта позиция Трампа по новым бомбардировкам Ирана","Мир","LENTA","Tue, 05 May 2026 08:33:15 +0300","https://lenta.ru/news/2026/05/05/raskryta-pozitsiya-trampa-po-novym-bombardirovkam-irana/","отсутсвует"
"Раскрыты потери итальянского бизнеса из-за санкций против России","Экономика","LENTA","Tue, 05 May 2026 08:31:45 +0300","https://lenta.ru/news/2026/05/05/raskryty-poteri-italyanskogo-biznesa-iz-za-sanktsiy-protiv-rossii/","отсутсвует"
"Пара из российского региона заработала на автоподставах по расписанию миллионы рублей","Силовые структуры","LENTA","Tue, 05 May 2026 08:31:44 +0300","https://lenta.ru/news/2026/05/05/para-iz-rossiyskogo-regiona-zarabotala-na-avtopodstavah/","отсутсвует"
"Парам дали четыре совета для идеального анального секса","Забота о себе","LENTA","Tue, 05 May 2026 08:30:40 +0300","https://lenta.ru/news/2026/05/05/param-dali-chetyre-soveta-dlya-idealnogo-analnogo-seksa/","отсутсвует"
"Аракчи оценил операцию США «Проект Свобода» в Ормузском проливе","Мир","LENTA","Tue, 05 May 2026 08:30:01 +0300","https://lenta.ru/news/2026/05/05/arakchi-otsenil-operatsiyu-ssha-proekt-svoboda-v-ormuzskom-prolive/","отсутсвует"
"Украина атаковала нефтезавод в Ленобласти","Россия","LENTA","Tue, 05 May 2026 08:27:00 +0300","https://lenta.ru/news/2026/05/05/ukraina-atakovala-neftezavod-v-lenoblasti/","отсутсвует"
"На Западе раскрыли последствия попытки Зеленского сорвать парад в Москве","Интернет и СМИ","LENTA","Tue, 05 May 2026 08:23:00 +0300","https://lenta.ru/news/2026/05/05/na-zapade-raskryli-posledstviya-popytki-zelenskogo-sorvat-parad-v-moskve/","отсутсвует"
"Дольщики из российского региона остались без полмиллиарда рублей","Силовые структуры","LENTA","Tue, 05 May 2026 08:22:10 +0300","https://lenta.ru/news/2026/05/05/dolschiki-iz-rossiyskogo-regiona-ostalis-bez-polmilliarda-rubley/","отсутсвует"
"Москвичи пережили самую теплую ночь за 55 лет","Экономика","LENTA","Tue, 05 May 2026 08:21:45 +0300","https://lenta.ru/news/2026/05/05/moskvichi-perezhili-samuyu-tepluyu-noch-za-55-let/","отсутсвует"
"В России призвали установить минимальные цены на яйца","Экономика","LENTA","Tue, 05 May 2026 08:19:00 +0300","https://lenta.ru/news/2026/05/05/ustanovite/","отсутсвует"
"В США судья извинился перед обвиняемым в покушении на Трампа","Мир","LENTA","Tue, 05 May 2026 08:09:00 +0300","https://lenta.ru/news/2026/05/05/v-ssha-sudya-izvinilsya-pered-obvinyaemym-v-pokushenii-na-trampa/","отсутсвует"
"Россиян предупредили об опасной экономии на шашлыках","Экономика","LENTA","Tue, 05 May 2026 08:00:18 +0300","https://lenta.ru/news/2026/05/05/rossiyan-predupredili-ob-opasnoy-ekonomii-na-shashlykah/","отсутсвует"
"Одержимый молодостью миллионер разоткровенничался о влагалище возлюбленной","Из жизни","LENTA","Tue, 05 May 2026 08:00:00 +0300","https://lenta.ru/news/2026/05/05/oderzhimyy-molodostyu-millioner-razotkrovennichalsya-o-vlagalische-vozlyublennoy/","отсутсвует"
"«Он хитрец». Трамп рассказал о своем отношении к Зеленскому и признал потерю Украиной территорий","Мир","LENTA","Tue, 05 May 2026 07:59:00 +0300","https://lenta.ru/news/2026/05/05/on-hitrets-tramp-rasskazal-o-svoem-otnoshenii-k-zelenskomu-i-priznal-poteryu-ukrainoy-territoriy/","отсутсвует"
"Онищенко оценил риски вспышки хантавируса в России из-за туристов с нидерландского лайнера","Наука и техника","LENTA","Tue, 05 May 2026 07:52:17 +0300","https://lenta.ru/news/2026/05/05/onischenko-otsenil-riski-rasprostraneniya-hantavirusa-v-rossii-iz-za-otdyhayuschih/","отсутсвует"
"Жители столицы региона России в 1000 километрах от границы сняли видео во время атаки ВСУ","Россия","LENTA","Tue, 05 May 2026 07:50:50 +0300","https://lenta.ru/news/2026/05/05/zhiteli-stolitsy-regiona-rossii-v-1000-kilometrah-ot-granitsy-snyali-video-vo-vremya-ataki-vsu/","отсутсвует"
"Назван способ получить рельефный пресс без спортзала","Спорт","LENTA","Tue, 05 May 2026 07:50:21 +0300","https://lenta.ru/news/2026/05/05/nazvan-sposob-poluchit-reliefnyy-press-bez-sportzala/","отсутсвует"
"Финский премьер попал в неловкую ситуацию из-за Зеленского","Мир","LENTA","Tue, 05 May 2026 07:47:26 +0300","https://lenta.ru/news/2026/05/05/finskiy-premier-popal-v-nelovkuyu-situatsiyu-iz-za-zelenskogo/","отсутсвует"
"Девушка оказалась в секс-рабстве в отеле Пакистана, забеременела и лишилась ребенка","Путешествия","LENTA","Tue, 05 May 2026 07:46:01 +0300","https://lenta.ru/news/2026/05/05/devushka-okazalas-v-seks-rabstve-v-otele-pakistana-zaberemenela-i-lishilas-rebenka/","отсутсвует"
"Лжегенерал пообещал решить проблемы российского бизнесмена за сотню миллионов","Силовые структуры","LENTA","Tue, 05 May 2026 07:42:55 +0300","https://lenta.ru/news/2026/05/05/lzhegeneral-poobeschal-reshit-problemy-rossiyskogo-biznesmena-za-sotnyu-millionov/","отсутсвует"
"В ВСУ решили усилить пропаганду ЛГБТ","Бывший СССР","LENTA","Tue, 05 May 2026 07:38:41 +0300","https://lenta.ru/news/2026/05/05/v-vsu-reshili-usilit-propagandu-lgbt/","отсутсвует"
"Москвичам пообещали аномальную погоду","Экономика","LENTA","Tue, 05 May 2026 07:36:58 +0300","https://lenta.ru/news/2026/05/05/moskvicham-poobeschali-anomalnuyu-pogodu/","отсутсвует"
"Минобороны России выпустило заявление о массированной атаке ВСУ перед режимом тишины","Россия","LENTA","Tue, 05 May 2026 07:36:10 +0300","https://lenta.ru/news/2026/05/05/minoborony-rossii-vypustilo-zayavlenie-o-massirovannoy-atake-vsu-pered-rezhimom-tishiny/","отсутсвует"
"Появились подробности о поставке фальсификата из Китая на десятки миллионов «Калашникову»","Силовые структуры","LENTA","Tue, 05 May 2026 07:35:01 +0300","https://lenta.ru/news/2026/05/05/poyavilis-podrobnosti-o-postavke-falsifikata-iz-kitaya-na-desyatki-millionov-kalashnikovu/","отсутсвует"
"Раскрыта новая схема кражи аккаунтов в Telegram","Интернет и СМИ","LENTA","Tue, 05 May 2026 07:33:00 +0300","https://lenta.ru/news/2026/05/05/raskryta-novaya-shema-krazhi-akkauntov-v-telegram/","отсутсвует"
"В Китае из-за мощного взрыва на заводе фейерверков погиб 21 человек","Мир","LENTA","Tue, 05 May 2026 07:31:51 +0300","https://lenta.ru/news/2026/05/05/v-kitae-iz-za-moschnogo-vzryva-na-zavode-feyerverkov-pogib-21-chelovek/","отсутсвует"
"iPhone сделают еще прозрачнее","Наука и техника","LENTA","Tue, 05 May 2026 07:30:59 +0300","https://lenta.ru/news/2026/05/05/iphone-glass/","отсутсвует"
"Россиян предупредили об опасных открытках в мессенджерах","Интернет и СМИ","LENTA","Tue, 05 May 2026 07:30:45 +0300","https://lenta.ru/news/2026/05/05/rossiyan-predupredili-ob-opasnyh-otkrytkah-v-messendzherah/","отсутсвует"
"Россиянам назвали опасные симптомы после работы на дачном участке","Наука и техника","LENTA","Tue, 05 May 2026 07:28:00 +0300","https://lenta.ru/news/2026/05/05/rossiyanam-nazvali-opasnye-simptomy-posle-raboty-na-dache/","отсутсвует"
"Раскрыты последствия удара ВСУ по региону России в 1000 километров от границы","Россия","LENTA","Tue, 05 May 2026 07:23:00 +0300","https://lenta.ru/news/2026/05/05/raskryty-posledstviya-udara-vsu-po-regionu-rossii-v-1000-kilometrah-ot-granitsy/","отсутсвует"
"Названа неожиданная польза кофе","Забота о себе","LENTA","Tue, 05 May 2026 07:22:00 +0300","https://lenta.ru/news/2026/05/05/nazvana-neozhidannaya-polza-kofe/","отсутсвует"
"Союзники США заговорили о новом мировом порядке после Трампа","Мир","LENTA","Tue, 05 May 2026 07:18:31 +0300","https://lenta.ru/news/2026/05/05/soyuzniki-ssha-zagovorili-o-novom-mirovom-poryadke-posle-trampa/","отсутсвует"
"Психолог дал россиянам советы на случай ограничения интернета","Забота о себе","LENTA","Tue, 05 May 2026 07:18:03 +0300","https://lenta.ru/news/2026/05/05/psiholog-dal-rossiyanam-sovety-na-sluchay-ogranicheniya-interneta/","отсутсвует"
"Внешность служащей в полиции девушки взорвала соцсети","Ценности","LENTA","Tue, 05 May 2026 07:17:47 +0300","https://lenta.ru/news/2026/05/05/vneshnost-sluzhaschey-v-politsii-devushki-vzorvala-sotsseti/","отсутсвует"
"Эстонский премьер прибудет на российскую границу 9 мая","Бывший СССР","LENTA","Tue, 05 May 2026 07:17:00 +0300","https://lenta.ru/news/2026/05/05/estonskiy-premier-pribudet-na-rossiyskuyu-granitsu-9-maya/","отсутсвует"
"Охрана США провела судно Maersk через Ормузский пролив","Мир","LENTA","Tue, 05 May 2026 07:13:06 +0300","https://lenta.ru/news/2026/05/05/ohrana-ssha-provela-sudno-maersk-cherez-ormuzskiy-proliv/","отсутсвует"
"Невеста очнулась после трехмесячной комы за два дня до свадьбы","Из жизни","LENTA","Tue, 05 May 2026 07:01:16 +0300","https://lenta.ru/news/2026/05/05/nevesta-ochnulas-posle-trehmesyachnoy-komy-za-dva-dnya-do-svadby/","отсутсвует"
"Предсказан исход попыток Украины вступить в ЕС","Бывший СССР","LENTA","Tue, 05 May 2026 07:01:02 +0300","https://lenta.ru/news/2026/05/05/predskazan-ishod-popytok-ukrainy-vstupit-v-es/","отсутсвует"
"Сексолог опровергла популярный миф о клиторе","Забота о себе","LENTA","Tue, 05 May 2026 07:00:47 +0300","https://lenta.ru/news/2026/05/05/seksolog-oprovergla-populyarnyy-mif-o-klitore/","отсутсвует"
"Раскрыты угрозы для Трампа в случае продолжения войны с Ираном","Мир","LENTA","Tue, 05 May 2026 07:00:32 +0300","https://lenta.ru/news/2026/05/05/ugrozi/","отсутсвует"
"Собянин сообщил о новой атаке БПЛА на Москву","Россия","LENTA","Tue, 05 May 2026 06:55:00 +0300","https://lenta.ru/news/2026/05/05/sobyanin-soobschil-o-novoy-atake-bpla-na-moskvu/","отсутсвует"
"Способность мошенников обманывать россиян объяснили","Россия","LENTA","Tue, 05 May 2026 06:47:47 +0300","https://lenta.ru/news/2026/05/05/sposobnost-moshennikov-obmanyvat-rossiyan-ob-yasnili/","отсутсвует"
"Россиян предупредили о вреде одного типа популярных летом напитков","Забота о себе","LENTA","Tue, 05 May 2026 06:47:26 +0300","https://lenta.ru/news/2026/05/05/rossiyan-predupredili-o-vrede-odnogo-tipa-populyarnyh-letom-napitkov/","отсутсвует"
"Samsung призвала обновить все смартфоны","Наука и техника","LENTA","Tue, 05 May 2026 06:47:12 +0300","https://lenta.ru/news/2026/05/05/update/","отсутсвует"
"Президент Колумбии заявил о бессмысленной гибели наемников на Украине","Мир","LENTA","Tue, 05 May 2026 06:40:00 +0300","https://lenta.ru/news/2026/05/05/prezident-kolumbii-zayavil-o-bessmyslennoy-gibeli-naemnikov-na-ukraine/","отсутсвует"
"Белый дом временно закрыли из-за стрельбы","Мир","LENTA","Tue, 05 May 2026 06:27:00 +0300","https://lenta.ru/news/2026/05/05/belyy-dom-ssha-vremenno-zakryli-iz-za-strelby/","отсутсвует"
"Полянский уличил Евросоюз в одном действии в отношении Украины","Мир","LENTA","Tue, 05 May 2026 06:25:00 +0300","https://lenta.ru/news/2026/05/05/polyanskiy-ulichil-evrosoyuz-v-odnom-deystvii-v-otnoshenii-ukrainy/","отсутсвует"
"В подполье раскрыли хитрости ТЦК при мобилизации украинцев","Бывший СССР","LENTA","Tue, 05 May 2026 06:22:26 +0300","https://lenta.ru/news/2026/05/05/v-podpolie-raskryli-hitrosti-ttsk-pri-mobilizatsii-ukraintsev/","отсутсвует"
"Заблокированные в бронекапсуле российские бойцы спаслись при помощи взрыва","Россия","LENTA","Tue, 05 May 2026 06:20:00 +0300","https://lenta.ru/news/2026/05/05/zablokirovannye-v-bronekapsule-rossiyskie-boytsy-spaslis-pri-pomoschi-vzryva/","отсутсвует"
"Стал известен вероятный исход конфликта с Ираном для США","Мир","LENTA","Tue, 05 May 2026 06:19:00 +0300","https://lenta.ru/news/2026/05/05/stal-izvesten-veroyatnyy-ishod-konflikta-s-iranom-dlya-ssha/","отсутсвует"
"Российский военнослужащий рассказал о полностью женских расчетах БПЛА ВСУ","Бывший СССР","LENTA","Tue, 05 May 2026 06:04:20 +0300","https://lenta.ru/news/2026/05/05/rossiyskiy-voennosluzhaschiy-rasskazal-o-polnostyu-zhenskih-raschetah-bpla-vsu/","отсутсвует"
"Названа главная проблема седана Geely","Авто","LENTA","Tue, 05 May 2026 06:02:00 +0300","https://lenta.ru/news/2026/05/05/nazvana-glavnaya-problema-sedana-geely/","отсутсвует"
"Президент одной страны выступил против секса с начальниками ради трудоустройства","Из жизни","LENTA","Tue, 05 May 2026 06:01:43 +0300","https://lenta.ru/news/2026/05/05/prezident-odnoy-strany-vystupil-protiv-seksa-s-nachalnikami-radi-trudoustroystva/","отсутсвует"
